issn,publisher,Journal Title,Date Removed (dd/mm/yyyy),Reason,Manual Check,category
2197-9847,Springer Nature,Research in the Mathematical Sciences,2018-04-30T00:00:00Z,Journal is no longer Open Access,"https://resmathsci.springeropen.com/ ""As of January 1, 2018, Research in the Mathematical Sciences  (RMS) has transitioned from an Open Access journal to a subscription-based journal with a Hybrid Open Access option. RMS continues to be published by Springer Nature and an archive of all articles previously published in the journal is hosted here.""",Hybrid
2212-9790,Springer Nature,Maritime Studies,2018-04-30T00:00:00Z,Journal is no longer Open Access,"https://maritimestudiesjournal.springeropen.com/ As of January 1, 2018, Maritime Studies has transitioned from an Open Access journal to a subscription-based journal with a Hybrid Open Access option. Maritime Studies continues to be published by Springer Nature and an archive of all articles previously published in the journal is hosted here",Hybrid
2190-5517,Springer Nature,Applied Nanoscience,2018-04-30T00:00:00Z,Journal is no longer Open Access,https://www.springer.com/materials/nanotechnology/journal/13204,Hybrid
2284-5666,NA,Hiperboreea,2018-02-14T00:00:00Z,Journal is no longer Open Access,http://hiperboreeajournal.com/subscription/,Subscription
0123-9015,Elsevier BV,Revista Colombiana de Cancerología,2018-01-03T00:00:00Z,Journal is no longer Open Access,https://www.journals.elsevier.com/revista-colombiana-de-cancerologia,Subscription
2330-1392,Berghahn Books,Contention: The Multidisciplinary Journal of Social Protest,2017-08-11T00:00:00Z,Journal is no longer Open Access,http://journals.berghahnbooks.com/contention/subscriptions/,Subscription
1369-7021,Elsevier BV,Materials Today,2017-05-23T00:00:00Z,Journal is no longer Open Access,https://www.journals.elsevier.com/materials-today,Hybrid
2047-2501,Springer Nature,Health Information Science and Systems,2017-04-28T00:00:00Z,Journal is no longer Open Access,https://link.springer.com/journal/13755,Hybrid
2190-7579,Springer Nature,Gold Bulletin,2017-04-10T00:00:00Z,Journal is no longer Open Access,"https://www.springer.com/materials/special+types/journal/13404 ""This Journal was published under the Open Access model until 2015, kindly sponsored by the World Gold Council. From 2016, Gold Bulletin is published as a subscription-based Journal.""",Hybrid
1895-7455,Springer Nature,Acta Geophysica,2017-04-03T00:00:00Z,Journal is no longer Open Access,https://link.springer.com/journal/11600,Hybrid
2214-5400,Elsevier BV,Meta Gene,2017-02-24T00:00:00Z,Journal is no longer Open Access,https://www.elsevier.com/journals/meta-gene/2214-5400?generatepdf=true,Hybrid
2372-7705,Elsevier BV,Molecular Therapy - Oncolytics,2017-02-20T00:00:00Z,Journal is no longer Open Access,https://www.journals.elsevier.com/molecular-therapy-oncolytics/,Hybrid
1120-0413,NA,Altreitalie. International journal of studies on Italian migrations in the world,2017-01-31T00:00:00Z,No longer OA,https://www.altreitalie.it/pubblicazioni/rivista/n--55/acquista-versione-digitale/il-peccato-originale-della-diplomazia-culturale-italiana-1889-1943.kl,Subscription
2035-5688,NA,Italian Journal of Engineering Geology and Environment,2017-01-06T00:00:00Z,no OA statement,http://www.ijege.uniroma1.it/,Subscription
2190-5738,Springer Nature,3 Biotech,2017-01-06T00:00:00Z,Journal is no longer Open Access,https://link.springer.com/journal/13205,Hybrid
2193-9616,Springer Nature,In Silico Pharmacology,2017-01-06T00:00:00Z,Journal is no longer Open Access,https://www.springer.com/biomed/pharmacology+&+toxicology/journal/40203,Hybrid
2210-4690,Springer Nature,Journal of Remanufacturing,2017-01-06T00:00:00Z,Journal is no longer Open Access,https://link.springer.com/journal/13243,Hybrid
1869-1889,Springer Nature,Science China Life Sciences,2017-01-06T00:00:00Z,Journal is no longer Open Access,https://link.springer.com/journal/11427,Hybrid
2193-9772,Springer Nature,Integrating Materials and Manufacturing Innovation,2017-01-06T00:00:00Z,Journal is no longer Open Access,https://link.springer.com/journal/40192,Hybrid
1878-5085,Springer Nature,EPMA Journal,2017-01-06T00:00:00Z,Journal is no longer Open Access,https://www.springer.com/biomed/journal/13167?detailsPage=aboutThis,Hybrid
1406-0957,Estonian Literary Museum of Scholarly Press,Folklore,2017-01-04T00:00:00Z,Journal is not Open Access,https://www.tandfonline.com/toc/rfol20/current,Hybrid
2352-4073,Elsevier BV,Plant Gene,2017-01-04T00:00:00Z,Journal is no longer Open Access,https://www.journals.elsevier.com/plant-gene,Hybrid
2385-2062,NA,Biblica : Commentarii ad rem Biblicam Scientifice Investigandam,2017-01-03T00:00:00Z,Missing OA statement,https://www.bsw.org/biblica/subscribe-to-biblica-or-send-books-for-review/,Subscription
2233-7849,Science and Engineering Research Support Society,International Journal of Bio-Science and Bio-Technology,2016-10-10T00:00:00Z,No OA or licence info,http://www.sersc.org/journals/IJBSBT/vol9_no3.php,Subscription
2215-1532,Elsevier BV,"Environmental Nanotechnology, Monitoring and Management",2016-03-16T00:00:00Z,Journal is no longer open access,"Hybrid, OA until 2016",Hybrid
1982-5676,FapUNIFESP (SciELO),Tropical Plant Pathology,2016-02-26T00:00:00Z,Journal is no longer open access,"Hybrid since to Springer in 2015, before OA",Hybrid
1175-8708,Emerald,English Teaching : Practice and Critique,2015-12-30T00:00:00Z,Journal is no longer open access,"Hybrid since 2014, OA before",Hybrid
1467-3037,Caister Academic Press,Current Issues in Molecular Biology,2015-12-15T00:00:00Z,Journal is no longer open access,"Hybrid, couldn't find anything before 2015",Hybrid
1091-3734,NA,Online Journal of Issues in Nursing,2015-12-02T00:00:00Z,Journal is no longer open access,"Delayed OA, not sure since when",Delayed OA
1896-1126,Elsevier BV,Advances in Medical Sciences,2015-11-26T00:00:00Z,Journal is no longer open access,"Hybrid, OA before then",Hybrid
0300-8932,Elsevier BV,Revista Española de Cardiología,2015-11-16T00:00:00Z,Journal is no longer open access,"Hybrid, not sure since when",Hybrid
1759-3077,NA,Bulletin of Italian Politics,2015-10-09T00:00:00Z,Journal is no longer open access,Hybrid since 2013,Hybrid
0313-5926,Elsevier BV,Economic Analysis and Policy,2015-10-03T00:00:00Z,Journal is no longer open access,"OA until to Elsevier in 2014, Hybrid",Hybrid
2083-8409,NA,Polish Journal of Cardiology,2015-10-02T00:00:00Z,Journal is no longer open access,subscription,Subscription
2083-5744,NA,Medical Mycology,2015-10-02T00:00:00Z,Journal is no longer open access,subscription,Subscription
2083-6074,NA,Clinical Dermatology,2015-10-02T00:00:00Z,Journal is no longer open access,subscription,Subscription
2008-8752,Duke University Press,Annals of Functional Analysis,2015-08-04T00:00:00Z,Journal is no longer open access,Delayed/Hybrid,Delayed OA/Hybrid
1735-8787,Duke University Press,Banach Journal of Mathematical Analysis,2015-08-04T00:00:00Z,Journal is no longer open access,Delayed/Hybrid,Delayed OA/Hybrid
2168-6750,Institute of Electrical and Electronics Engineers (IEEE),IEEE Transactions on Emerging Topics in Computing,2015-07-24T00:00:00Z,Journal is no longer open access,Hybrid since 2015,Hybrid
1559-4106,American Vacuum Society,Biointerphases,2015-07-13T00:00:00Z,Journal is no longer open access,"OA until leaving Springer 2013, Hybrid",Hybrid
0253-2964,Korean Chemical Society,Bulletin of the Korean Chemical Society,2015-07-01T00:00:00Z,Journal is no longer open access,"Hybrid, OA before switching to Wiley in 2015",Hybrid
0975-1432,Informatics Publishing Limited,Global Journal of Enterprise Information System,2015-05-26T00:00:00Z,No longer open access,"Hybrid, OA before",Hybrid
0899-6180,NA,Missouri Journal of Mathematical Sciences,2015-05-26T00:00:00Z,No longer open access,Delayed OA,Delayed OA
2213-0896,Elsevier BV,Cancer Treatment Communications,2015-04-27T00:00:00Z,No longer open access,"Hybrid, OA before 2016",Hybrid
1562-7020,Informa UK Limited,African Zoology,2015-04-07T00:00:00Z,No longer open access,"Hybrid, don't know before",Hybrid
1520-4383,American Society of Hematology,Hematology online (ASH),2015-03-03T00:00:00Z,No longer open access,subscription & Delayed access,Delayed OA/Subscription
1872-5457,Brill Academic Publishers,African Diaspora,2015-02-23T00:00:00Z,No longer open access,"OA until 02/2015, closed access 2015-2016, couldn't find current issue",Subscription
2251-1717,World Scientific Pub Co Pte Lt,Journal of Astronomical Instrumentation,2015-02-23T00:00:00Z,No longer open access,"Hybrid, OA before 3/2014",Hybrid
0022-9032,VM Media SP. zo.o VM Group SK,Kardiologia Polska,2015-02-23T00:00:00Z,No longer open access,"articles CC BY-NC-ND, but subscriptions",Hybrid
1734-1140,Elsevier BV,Pharmacological Reports,2015-01-27T00:00:00Z,Journal is no longer Open Access,"Hybrid, didn't mention OA before 2015",Hybrid
0256-4602,Informa UK Limited,IETE Technical Review,2015-01-26T00:00:00Z,Journal is no longer Open Access,"Hybrid now, was OA in 2016 (Sherpa/Romeo), T&F closed",Hybrid
1948-822X,University of Chicago Press,Journal of the Society for Social Work and Research,2015-01-07T00:00:00Z,Journal is no longer Open Access,"Hybrid now, looks like OA before 2016",Hybrid
1507-5532,NA,Pediatria Współczesna,2014-12-08T00:00:00Z,Journal is no longer Open Access,"closed now, web archive closed 2013 too",Subscription
0103-0752,Institute of Mathematical Statistics,Brazilian Journal of Probability and Statistics,2014-11-17T00:00:00Z,Journal is no longer Open Access,"Delayed OA, webarchive: 2014+2010 Delayed too",Delayed OA/Subscription
1001-6538,Springer Nature,Chinese Science Bulletin,2014-11-04T00:00:00Z,Journal is no longer Open Access,"until 2014: Chinese Science Bulletin, then Science Bulletin, 2011-2014 Springer Open OA, since 2014 Hybrid",Hybrid
1548-159X,International Press of Boston,Dynamics of Partial Differential Equations (DPDE),2014-10-27T00:00:00Z,Journal is no longer Open Access,"OA until 2014, now closed",Subscription
1532-0073,International Press of Boston,"Homology, Homotopy and Applications (HHA)",2014-09-05T00:00:00Z,Journal is no longer Open Access,"before 2014: OA, after 2014: closed/Delayed access",Delayed OA/Subscription
2222-2480,NA,Journal of Cultural Research,2014-05-20T00:00:00Z,Journal is no longer Open Access,"This site was strange, didn't find OA titles at first, then some were OA, some were not, then the ones that were OA were not OA anymore. Will check tomorrow again",Subscription
2081-237X,PROQURAT Andrzej Prokurat,"Pediatric Endocrinology, Diabetes and Metabolism",2014-05-20T00:00:00Z,Journal is no longer Open Access,"Hybrid, could only find journal editions back to 2014, not 2013",Hybrid
1566-5399,Informa UK Limited,Ars Disputandi : the Online Journal for Philosophy of Religion,2014-05-13T00:00:00Z,Journal is no longer Open Access,Discontinued in 2012 (OA until then). Continued by International Journal of Philosophy and Theology (2169-2327) (now Hybrid).,Hybrid
0103-9733,FapUNIFESP (SciELO),Brazilian Journal of Physics,NA,Journal is no longer Open Access,"Hybrid since 2012, 2011-2012 closed, until moving to Springer 2011 open (looks like it)",Hybrid
1387-3091,NA,Electronic Journal of Comparative Law,NA,Journal is no longer Open Access,"Hybrid, OA until moving to Brill & changing name to European Journal of Comparative Law and Governance in 2013",Hybrid
1477-3880,Elsevier BV,International Review of Economics Education,NA,Journal is no longer Open Access,"Hybrid since 2014, moved to Elsevier 2013, until 2013 OA",Hybrid
1214-021X,Elsevier BV,Journal of Applied Biomedicine,NA,Journal is no longer Open Access,"OA until to Elsevier in 2014, then closed",Subscription
0028-3843,Elsevier BV,Neurologia i Neurochirurgia Polska,NA,Journal is no longer Open Access,"closed, not sure since when",Subscription
