issn,journal_name,oa_model,apc,file,year
0213-4853,Neurología,Open Access,0,Elsevier OA Price List 2018,2018
0370-2693,Physics Letters B,Open Access,0,Elsevier OA Price List 2018,2018
0482-5004,Revista Brasileira de Reumatologia,Open Access,0,Elsevier OA Price List 2017,2017
0550-3213,"Nuclear Physics, Section B",Open Access,0,Elsevier OA Price List 2018,2018
1201-9712,International Journal of Infectious Diseases,Open Access,1750,Elsevier OA Price List 2018,2018
1369-7021,Materials Today,Hybrid,3300,Elsevier OA Price List 2018,2018
1571-0661,Electronic Notes in Theoretical Computer Science,Open Access,0,Elsevier OA Price List 2018,2018
1672-0229,"Genomics, Proteomics and Bioinformatics",Open Access,0,Elsevier OA Price List 2018,2018
1755-4365,Epidemics,Open Access,1850,Elsevier OA Price List 2018,2018
1836-9553,Journal of Physiotherapy,Open Access,0,Elsevier OA Price List 2018,2018
1873-5061,Stem Cell Research,Open Access,2000,Elsevier OA Price List 2018,2018
1876-0341,Journal of Infection and Public Health,Open Access,0,Elsevier OA Price List 2017,2017
1876-3804,Petroleum Exploration and Development Online,Open Access,3000,Elsevier OA Price List 2018,2018
1876-6102,Energy Procedia,Hybrid,0,Elsevier OA Price List 2018,2018
1877-0428,Procedia - Social and Behavioral Sciences,Open Access,0,Elsevier OA Price List 2018,2018
1878-450X,International Journal of Gastronomy and Food Science,Hybrid,3000,Elsevier OA Price List 2018,2018
1878-9293,Developmental Cognitive Neuroscience,Open Access,1750,Elsevier OA Price List 2018,2018
1879-4378,Trials in Vaccinology,Open Access,3000,Elsevier OA Price List 2015,2015
2095-2686,International Journal of Mining Science and Technology,Open Access,0,Elsevier OA Price List 2018,2018
2173-5808,Neurología (English Edition),Open Access,0,Elsevier OA Price List 2018,2018
2210-2612,International Journal of Surgery Case Reports,Open Access,700,Elsevier OA Price List 2018,2018
2210-6006,Journal of Epidemiology and Global Health,Open Access,0,Elsevier OA Price List 2018,2018
2211-2839,Results in Immunology,Open Access,1500,Elsevier OA Price List 2017,2017
2211-2863,Results in Pharma Sciences,Open Access,1500,Elsevier OA Price List 2017,2017
2211-3207,International Journal for Parasitology: Drugs and Drug Resistance,Open Access,1838,Elsevier OA Price List 2018,2018
2211-338X,Gynecologic Oncology Case Reports,Open Access,500,Elsevier Open Access Journals 2010-2014.2014,2014
2211-3797,Results in Physics,Open Access,850,Elsevier OA Price List 2018,2018
2211-3819,Systems Engineering Procedia,Open Access,N/A,Elsevier OA Price List 2015,2015
2211-5463,FEBS Open Bio,Open Access,EUR 1200,Elsevier OA Price List 2015,2015
2211-7539,Medical Mycology Case Reports,Open Access,450,Elsevier OA Price List 2018,2018
2211-968X,Perspectives in Medicine,Open Access,N/A,Elsevier OA Price List 2015,2015
2212-0661,Applied and Translational Genomics,Open Access,1500,Elsevier OA Price List 2017,2017
2212-0971,Video Journal and Encyclopedia of GI Endoscopy,Open Access,2000,Elsevier OA Price List 2016,2016
2212-1374,Journal of Bone Oncology,Open Access,2000,Elsevier OA Price List 2018,2018
2212-6287,Arthroscopy Techniques,Open Access,900,Elsevier OA Price List 2018,2018
2212-6864,Physics of the Dark Universe,Hybrid,2000,Elsevier OA Price List 2018,2018
2212-9553,Clinical Ovarian and Other Gynecologic Cancer,Open Access,1800,Elsevier OA Price List 2017,2017
2213-0071,Respiratory Medicine Case Reports,Open Access,450,Elsevier OA Price List 2018,2018
2213-0489,Leukemia Research Reports,Open Access,600,Elsevier OA Price List 2018,2018
2213-2244,International Journal for Parasitology: Parasites and Wildlife,Open Access,1800,Elsevier OA Price List 2018,2018
2213-5383,Journal of Cancer Policy,Hybrid,1600,Elsevier OA Price List 2018,2018
2214-1677,JCRS Online Case Reports,Hybrid,3000,Elsevier OA Price List 2018,2018
2214-2428,GeoResJ,Hybrid,2200,Elsevier OA Price List 2017,2017
2214-5400,Meta Gene,Hybrid,1500,Elsevier OA Price List 2018,2018
2214-8515,Journal of African Trade,Open Access,0,Elsevier OA Price List 2018,2018
2214-9937,Sustainable Materials and Technologies,Hybrid,1100,Elsevier OA Price List 2018,2018
2214-9996,Annals of Global Health,Hybrid,1200,Elsevier OA Price List 2018,2018
2215-0382,Colloid and Interface Science Communications,Hybrid,1500,Elsevier OA Price List 2018,2018
2215-1532,"Environmental Nanotechnology, Monitoring and Management",Hybrid,1950,Elsevier OA Price List 2018,2018
2255-5021,Revista Brasileira de Reumatologia (English Edition),Open Access,0,Elsevier OA Price List 2017,2017
2256-2087,Colombian Journal of Anesthesiology,Open Access,0,Elsevier OA Price List 2017,2017
2352-0264,New Negatives in Plant Science,Open Access,1000,Elsevier OA Price List 2016,2016
2352-2143,Computational Condensed Matter,Hybrid,1000,Elsevier OA Price List 2018,2018
2352-4073,Plant Gene,Hybrid,1500,Elsevier OA Price List 2018,2018
2352-6440,Trauma Case Reports,Open Access,750,Elsevier OA Price List 2018,2018
