issn,journal_name,oa_model,year,File,ISSN-L
0891-6640,Journal of Veterinary Internal Medicine,Open Access,2018,Wiley OA Journal List 2018,0891-6640
1326-0200,Australian and New Zealand Journal of Public Health,Open Access,2018,Wiley OA Journal List 2018,1326-0200
1347-9032,Cancer Science,Open Access,2018,Wiley OA Journal List 2018,1347-9032
1369-6513,Health Expectations,Open Access,2018,Wiley OA Journal List 2018,1369-6513
1467-7644,Plant Biotechnology Journal,Open Access,2018,Wiley OA Journal List 2018,1467-7644
1474-9718,Aging Cell,Open Access,2018,Wiley OA Journal List 2018,1474-9718
1530-261X,Atmospheric Science Letters,Open Access,2018,Wiley OA Journal List 2018,1530-261X
1582-1838,Journal of Cellular and Molecular Medicine,Open Access,2018,Wiley OA Journal List 2018,1582-1838
1750-2640,Influenza and Other Respiratory Viruses,Open Access,2018,Wiley OA Journal List 2018,1750-2640
1752-4571,Evolution Letters,Open Access,2018,Wiley OA Journal List 2018,1752-4571
1752-8054,Clinical and Translational Science,Open Access,2018,Wiley OA Journal List 2018,1752-8054
1755-263X,Conservation Letters,Open Access,2018,Wiley OA Journal List 2018,1755-263X
1757-1693,GCB Bioenergy,Open Access,2018,Wiley OA Journal List 2018,1757-1693
1757-4676,EMBO Molecular Medicine,Open Access,2018,Wiley OA Journal List 2018,1757-4676
1759-7706,Thoracic Cancer,Open Access,2018,Wiley OA Journal List 2018,1759-7706
2040-1116,Journal of Diabetes Investigation,Open Access,2018,Wiley OA Journal List 2018,2040-1116
2052-8817,Acute Medicine & Surgery,Open Access,2018,Wiley OA Journal List 2018,2052-8817
